division,category,subcategory,sku,month,month_no,horizon_step,base_level,seasonal_index,yoy_growth,statistical_forecast,manual_override,final_forecast,override_source
Indoor Growing,Herb Kits,Gifting,BTR-1204,2026-09,9,1,2787.5416879661993,0.857681592864025,0.09023554941076117,2478.0,,2478.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2026-10,10,2,2787.5416879661993,0.9165900084142423,0.09023554941076117,2668.0,,2668.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2026-11,11,3,2787.5416879661993,1.305008872011963,0.09023554941076117,3826.0,,3826.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2026-12,12,4,2787.5416879661993,0.9657884755398413,0.09023554941076117,2852.0,,2852.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2027-01,1,5,2787.5416879661993,0.8394963661808496,0.09023554941076117,2497.0,,2497.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2027-02,2,6,2787.5416879661993,0.9250025068338471,0.09023554941076117,2771.0,,2771.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2027-03,3,7,2787.5416879661993,1.1427439149333183,0.09023554941076117,3448.0,,3448.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2027-04,4,8,2787.5416879661993,1.3028115776486335,0.09023554941076117,3959.0,,3959.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2027-05,5,9,2787.5416879661993,1.1625195642032846,0.09023554941076117,3559.0,,3559.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2027-06,6,10,2787.5416879661993,0.9167992745440833,0.09023554941076117,2827.0,,2827.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2027-07,7,11,2787.5416879661993,0.8154307612491445,0.09023554941076117,2532.0,,2532.0,statistical
Indoor Growing,Herb Kits,Gifting,BTR-1204,2027-08,8,12,2787.5416879661993,0.850127085576768,0.09023554941076117,2659.0,,2659.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2026-09,9,1,2303.693330497631,0.857681592864025,0.13860056271709076,2086.0,,2086.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2026-10,10,2,2303.693330497631,0.9165900084142423,0.13860056271709076,2253.0,,2253.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2026-11,11,3,2303.693330497631,1.305008872011963,0.13860056271709076,3243.0,,3243.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2026-12,12,4,2303.693330497631,0.9657884755398413,0.13860056271709076,2426.0,,2426.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2027-01,1,5,2303.693330497631,0.8394963661808496,0.13860056271709076,2132.0,,2132.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2027-02,2,6,2303.693330497631,0.9250025068338471,0.13860056271709076,2374.0,,2374.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2027-03,3,7,2303.693330497631,1.1427439149333183,0.13860056271709076,2965.0,,2965.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2027-04,4,8,2303.693330497631,1.3028115776486335,0.13860056271709076,3417.0,,3417.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2027-05,5,9,2303.693330497631,1.1625195642032846,0.13860056271709076,3082.0,,3082.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2027-06,6,10,2303.693330497631,0.9167992745440833,0.13860056271709076,2457.0,,2457.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2027-07,7,11,2303.693330497631,0.8154307612491445,0.13860056271709076,2209.0,,2209.0,statistical
Indoor Growing,Herb Kits,Microgreens,BTR-1205,2027-08,8,12,2303.693330497631,0.850127085576768,0.13860056271709076,2328.0,,2328.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2026-09,9,1,6404.036075084977,0.857681592864025,0.09133627734993177,5696.0,,5696.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2026-10,10,2,6404.036075084977,0.9165900084142423,0.09133627734993177,6132.0,,6132.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2026-11,11,3,6404.036075084977,1.305008872011963,0.09133627734993177,8794.0,,8794.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2026-12,12,4,6404.036075084977,0.9657884755398413,0.09133627734993177,6556.0,,6556.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2027-01,1,5,6404.036075084977,0.8394963661808496,0.09133627734993177,5740.0,,5740.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2027-02,2,6,6404.036075084977,0.9250025068338471,0.09133627734993177,6371.0,,6371.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2027-03,3,7,6404.036075084977,1.1427439149333183,0.09133627734993177,7929.0,,7929.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2027-04,4,8,6404.036075084977,1.3028115776486335,0.09133627734993177,9105.0,,9105.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2027-05,5,9,6404.036075084977,1.1625195642032846,0.09133627734993177,8184.0,,8184.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2027-06,6,10,6404.036075084977,0.9167992745440833,0.09133627734993177,6501.0,,6501.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2027-07,7,11,6404.036075084977,0.8154307612491445,0.09133627734993177,5825.0,,5825.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1201,2027-08,8,12,6404.036075084977,0.850127085576768,0.09133627734993177,6117.0,,6117.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1202,2026-09,9,1,4314.344938145499,0.857681592864025,-0.07375893677906453,3584.0,,3584.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1202,2026-10,10,2,4314.344938145499,0.9165900084142423,-0.07375893677906453,3806.0,,3806.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1202,2026-11,11,3,4314.344938145499,1.305008872011963,-0.07375893677906453,5384.0,,5384.0,statistical
Indoor Growing,Herb Kits,Single Herb,BTR-1202,2026-12,12,4,4314.344938145499,0.9657884755398413,-0.07375893677906453,3959.0,,3959.0,statistical
